"","x"
"V816",8.78922448537892e-09
"V817",8.80449058523096e-09
"V818",8.84908110440223e-09
"V819",8.8868707249606e-09
"V820",8.87517515858548e-09
"V821",8.88045495074897e-09
"V822",8.93561315794212e-09
"V823",8.91336333103652e-09
"V824",8.971640384617e-09
"V825",8.89170187470501e-09
"V826",8.92611881682084e-09
"V827",8.94451056806863e-09
"V828",8.93530382599078e-09
"V829",9.04001180307467e-09
"V830",9.06938998779107e-09
"V831",9.09413656257923e-09
"V832",9.12950774379466e-09
"V833",9.18750872641772e-09
"V834",9.17731057522275e-09
"V835",9.15189707553839e-09
"V836",9.12072472359119e-09
"V837",9.18545881204001e-09
"V838",9.19135009479745e-09
"V839",9.27936684802461e-09
"V840",9.25856526791957e-09
"V841",9.310236271956e-09
"V842",9.27510716526346e-09
"V843",9.18831030816735e-09
"V844",9.25789105654031e-09
"V845",9.29286614732666e-09
"V846",9.2598414902903e-09
"V847",9.35077354076126e-09
"V848",9.31923140835223e-09
"V849",9.3616258463746e-09
"V850",9.38764239685852e-09
"V851",9.3881037830995e-09
"V852",9.38347524212732e-09
"V853",9.45091767613559e-09
"V854",9.49898898627608e-09
"V855",9.47803294655296e-09
"V856",9.50433790308625e-09
"V857",9.45043760156103e-09
"V858",9.5397728868522e-09
"V859",9.54000946208969e-09
"V860",9.53239155382828e-09
"V861",9.54429218965241e-09
"V862",9.63654497160006e-09
"V863",9.73175925873504e-09
"V864",9.71631533570470e-09
"V865",9.69556792854811e-09
"V866",9.64143317729227e-09
"V867",9.51266616629734e-09
"V868",9.57681005814195e-09
"V869",9.64084331650849e-09
"V870",9.71112408398354e-09
"V871",9.70020395577865e-09
"V872",9.6895000290171e-09
"V873",9.77310092671258e-09
"V874",9.7781120696042e-09
"V875",9.84607682940114e-09
"V876",9.79821644772913e-09
"V877",9.77987644508255e-09
"V878",9.84817098721667e-09
"V879",9.85994126919529e-09
"V880",9.80669123938981e-09
"V881",9.90711708059572e-09
"V882",9.84649656934725e-09
"V883",9.89284285845372e-09
"V884",9.91140105316712e-09
"V885",9.91138430418472e-09
"V886",9.91511722964233e-09
"V887",1.00124948348936e-08
"V888",9.98099321319785e-09
"V889",1.0059205848394e-08
"V890",1.00844313540007e-08
"V891",1.00386185783271e-08
"V892",1.00864493935639e-08
"V893",1.00732315728663e-08
"V894",1.01949513290644e-08
"V895",1.01120381088624e-08
"V896",1.01471272850053e-08
"V897",1.0231210913741e-08
"V898",1.03344164916433e-08
"V899",1.03093821885069e-08
"V900",1.03526224627746e-08
"V901",1.03662754865591e-08
"V902",1.04331115280682e-08
"V903",1.03571365686988e-08
"V904",1.03904506712143e-08
"V905",1.04576084883662e-08
